participant,rs,nomov,mov
NVR_S01,11.3221906257113,NaN,NaN
NVR_S02,10.7152594506033,10.7874070897723,11.1896716285106
NVR_S03,10.5346225730665,10.710872725209,NaN
NVR_S04,10.0968063604328,9.86485854386062,10.241443800646
NVR_S05,10.2986653240282,9.96888885865962,10.2356231670201
NVR_S06,10.2773982545488,12.2929420484506,12.5033798121137
NVR_S07,11.5887997614349,10.7006078804941,NaN
NVR_S08,11.1938453831944,11.4500684789125,11.0563417399168
NVR_S09,9.96104840331682,10.9169614104318,11.9053934922072
NVR_S10,9.42330578357024,NaN,NaN
NVR_S11,11.3956708880935,11.8307190105317,9.34908289628535
NVR_S13,11.1854345764924,9.63291468711972,10.5347604858851
NVR_S14,10.4819298839286,9.29980377535039,10.5732805476744
NVR_S15,10.2707686519826,11.4981454708275,NaN
NVR_S16,10.5540185242225,NaN,NaN
NVR_S17,9.71051451535082,9.07978082329446,11.4235743481139
NVR_S18,8.82979216909136,10.7397489654493,10.3839280825064
NVR_S19,11.081927024129,NaN,NaN
NVR_S20,10.3554060175496,11.130522555544,12.1391362367839
NVR_S21,10.7171537319013,12.4054945264621,12.3073213069833
NVR_S22,9.40295307518902,10.8233601102199,10.307491547797
NVR_S23,9.41331157363101,NaN,NaN
NVR_S24,10.875769815654,9.70094560555551,8.82518892419951
NVR_S25,11.0343213558423,11.4889251966882,11.2829940679989
NVR_S26,10.9925757980774,11.146020948227,NaN
NVR_S27,10.4747997582393,11.6860013114526,12.2530599176532
NVR_S28,9.1175499291372,11.0262075594193,11.1610483712179
NVR_S29,9.97515675118123,11.5856068267193,11.8925603617623
NVR_S30,9.24660472171575,10.1954781079695,NaN
NVR_S31,9.01121976131258,10.0495769626899,11.0704495414267
NVR_S32,9.73335430705058,NaN,NaN
NVR_S33,8.75804966665748,NaN,NaN
NVR_S34,10.878742488474,12.2051515715032,12.2458658197228
NVR_S35,9.68949843714285,10.0865600901969,10.5683893723723
NVR_S36,10.0666112890431,10.2537876322482,10.3156274647295
NVR_S37,9.49899205030946,10.5882671426217,9.94238213614687
NVR_S38,8.57036718550803,NaN,NaN
NVR_S39,10.0650974058608,10.96105854948,11.0958960634551
NVR_S40,9.92423922440603,NaN,NaN
NVR_S41,9.71248734201954,NaN,NaN
NVR_S42,10.3930891133113,11.8404591415535,12.1114266821944
NVR_S43,10.1210315696304,NaN,NaN
NVR_S44,10.5638146953563,10.3758473775335,10.8531565974289
NVR_S45,10.3237782091223,NaN,NaN
